threshold,N,cos2_mean,cos2_err
0.0,3537,-0.12550240886707065,0.011852589590669652
0.0172004928955665,3537,-0.12550240886707065,0.011852589590669652
0.034400985791133,3537,-0.12550240886707065,0.011852589590669652
0.0516014786866995,3537,-0.12550240886707065,0.011852589590669652
0.068801971582266,3537,-0.12550240886707065,0.011852589590669652
0.0860024644778325,3537,-0.12550240886707065,0.011852589590669652
0.103202957373399,3537,-0.12550240886707065,0.011852589590669652
0.12040345026896551,3537,-0.12550240886707065,0.011852589590669652
0.137603943164532,3537,-0.12550240886707065,0.011852589590669652
0.1548044360600985,3535,-0.12540292224828584,0.011858029527591445
0.172004928955665,3530,-0.12501165180878868,0.011867206070027357
0.18920542185123151,3504,-0.12488338153833348,0.011909132943114268
0.206405914746798,3443,-0.12120265659086538,0.01201946269119582
0.2236064076423645,3323,-0.11912230298929864,0.012240818403987722
0.24080690053793102,3103,-0.12054483098033628,0.012673480257877213
0.2580073934334975,2801,-0.12616225590209584,0.013289015540974764
0.275207886329064,2513,-0.13234409777846523,0.01402647121378248
0.29240837922463053,2184,-0.13272224481088554,0.015045017160881715
0.309608872120197,1866,-0.13982985664656103,0.01623162536784622
0.3268093650157635,1621,-0.1354138159289775,0.017446547748856702
0.34400985791133,1379,-0.15068323608016204,0.018826125773292787
0.3612103508068965,1140,-0.15028385512235237,0.02066344622091332
0.37841084370246303,945,-0.17284284840722808,0.02278999473300546
0.3956113365980295,779,-0.16138850352981493,0.025297362067327998
0.412811829493596,638,-0.16016278175132861,0.027967932391058534
0.43001232238916254,484,-0.1597404589374341,0.031628853055197685
0.447212815284729,360,-0.16815625421310637,0.03639405050876052
0.4644133081802955,276,-0.1882951113425156,0.04107500228179966
0.48161380107586205,193,-0.1945810935002446,0.04941317444556277
0.4988142939714285,144,-0.19570511117280326,0.058127889722697994
0.516014786866995,94,-0.2970119153914215,0.06624018986613223
0.5332152797625616,62,-0.25362150846525766,0.08116623165792261
