threshold,N,purity,efficiency,cos2_mean,cos2_err
0.3,207001,0.20496519340486277,0.806600634968917,-0.1291952120332166,0.0015589493774036593
0.32052631578947366,166031,0.2329444501328065,0.735271192562879,-0.13388626236136067,0.0017388470877879756
0.34105263157894733,131819,0.2637783627549898,0.6610330602079808,-0.14131573435511827,0.0019471795125809285
0.361578947368421,104290,0.2962700163007,0.587403281306439,-0.14687866496620125,0.002186470047520792
0.3821052631578947,81843,0.33016873770511834,0.5137164692686451,-0.15437707228374176,0.002462901953519607
0.4026315789473684,63020,0.3682640431609013,0.44120834204672915,-0.1612888344677031,0.0028040349675883497
0.42315789473684207,47322,0.4084358226617641,0.36744548582726566,-0.16918906238016562,0.003236693382038841
0.4436842105263158,34533,0.4472243940578577,0.2936065854261326,-0.17986275340610097,0.003785371105278669
0.4642105263157894,24845,0.49148722076876633,0.23214387559171878,-0.19616939555080484,0.0044397542194921985
0.48473684210526313,17355,0.5356381446269086,0.1767266782000342,-0.20754227904444122,0.005285720172811564
0.5052631578947369,11871,0.5762783253306377,0.1300545617003479,-0.21791543775227612,0.006355732642380347
0.5257894736842105,7794,0.6184244290479857,0.09163323891180776,-0.23511451128161898,0.007758721799951332
0.5463157894736841,4980,0.6558232931726907,0.062090074333187584,-0.2545256385063997,0.009610924479858528
0.5668421052631578,3037,0.6931182087586434,0.040018250603600695,-0.2657412230261742,0.012284857507044403
0.5873684210526315,1731,0.7267475447718083,0.023915895135073476,-0.273390686416492,0.01626419029881566
0.6078947368421053,889,0.7289088863892014,0.012319157430467102,-0.3099324122797526,0.021800920580296552
0.6284210526315789,393,0.7455470737913485,0.005570236307294538,-0.35949362624605896,0.03203957561543588
0.6489473684210525,163,0.7607361963190185,0.0023573696317560505,-0.4082694264932167,0.04770860004087226
0.6694736842105262,44,0.7727272727272727,0.0006463755441911751,-0.47646939890034506,0.08494881582951502
0.69,17,0.8235294117647058,0.000266154635843425,-0.5147233549141184,0.1187164065114339
