threshold,selected_fraction,matched_purity,matched_efficiency,unmatched_mistag_rate,n_selected
0.05,0.8805599605002362,0.2646163410846662,0.9959932422033495,0.845307295578589,8608584
0.06,0.8662605263914293,0.2685976708122023,0.9945613203587369,0.8270781967185753,8468789
0.07,0.8531047810609803,0.2722923679659,0.9929300225259888,0.8104029509455377,8340175
0.08,0.8405532544599618,0.27585224548486226,0.9911115910903419,0.794573598384324,8217468
0.09,0.8282010883301909,0.2793944700995837,0.9890867880178529,0.7790675145627827,8096710
0.09999999999999999,0.8155256902408804,0.28306382506905986,0.9867401851048647,0.7632377614207267,7972792
0.10999999999999999,0.8023107198140476,0.28693244006992197,0.9840180033019462,0.7468183532789211,7843599
0.12,0.7885426749551797,0.2909799313763045,0.9807742084423489,0.7298362625807421,7708999
0.13,0.7740577916240166,0.295293582689199,0.9770306619282806,0.7120710363360205,7567391
0.13999999999999999,0.7586102703272755,0.2999965481774647,0.9727825542512557,0.6932032780865588,7416372
0.14999999999999997,0.7421599116472034,0.3050706431725566,0.9677846004785023,0.6732554203595214,7255549
0.15999999999999998,0.7243735616305661,0.31065575680295526,0.96188420802261,0.6518391667918482,7081665
0.16999999999999998,0.7052929540240385,0.3168099272413797,0.9551006149175213,0.6290031211923957,6895128
0.18,0.6848843335913393,0.32361721295511925,0.9473918472709975,0.6047160382554704,6695608
0.19,0.6632284060337588,0.3310928587049696,0.938628485581968,0.5791227947190092,6483894
0.19999999999999996,0.6407908913233802,0.33915999245914186,0.9289701180865502,0.5527826014387529,6264539
0.20999999999999996,0.6183974629973565,0.34760218770133394,0.9188211807255887,0.5266497755078197,6045615
0.21999999999999997,0.5968174335771109,0.3561088484762478,0.9084584388510346,0.5016440505399496,5834643
0.22999999999999998,0.5764915646175977,0.3644380379323242,0.898043666839226,0.4782913891809791,5635932
0.24,0.5565564380901861,0.3730196115044897,0.887404596840765,0.4555173000851234,5441041
0.24999999999999994,0.5371362323489522,0.38179389638603406,0.8765853888881115,0.4334703987448467,5251184
0.25999999999999995,0.518484111666004,0.39061137507703936,0.8656874798875099,0.41245018610318296,5068836
0.26999999999999996,0.5003292158423348,0.3995725923462014,0.854539913673695,0.39215529183983444,4891349
0.27999999999999997,0.4826296065540803,0.408728501055356,0.8431982182082745,0.37251401198404355,4718313
0.29,0.4654346891925246,0.4179929238446305,0.831588501951786,0.35361340610551967,4550211
0.3,0.4489576331892121,0.42735013135869615,0.8201060190561471,0.3356110360022032,4389127
0.30999999999999994,0.43330942166949105,0.4366884427496125,0.8088176654121136,0.3186313487890775,4236146
0.31999999999999995,0.4184816669685885,0.4458782856609306,0.79757871853707,0.3027075926760469,4091186
0.32999999999999996,0.4045057716851054,0.45497039615592555,0.7866628831866579,0.28779717256688864,3954554
0.33999999999999997,0.3912062085903803,0.4639650216209347,0.7758393029535628,0.27374145844808306,3824534
0.3499999999999999,0.37861212993392873,0.4728286050914097,0.7652072286038084,0.26054819488257974,3701411
0.35999999999999993,0.36650289921678647,0.48173081538854845,0.7546796517566073,0.24795593610735567,3583028
0.36999999999999994,0.3549060320709523,0.4905402671275003,0.7441643172946427,0.2360287750571662,3469654
0.37999999999999995,0.34381262938867935,0.49929549012525876,0.7337705322289536,0.22472171315073522,3361202
0.38999999999999996,0.3332922474144256,0.5079310031574243,0.7236202831838596,0.21408829469397292,3258352
0.3999999999999999,0.32331839340214014,0.5164239309425169,0.7137030766863012,0.20409714085423863,3160845
0.4099999999999999,0.31379706413321,0.5247854950938176,0.7039008611643558,0.1946615926426652,3067762
0.41999999999999993,0.30466514754464924,0.5330852654670863,0.6942250045471716,0.18569579223206983,2978486
0.42999999999999994,0.2959368617511337,0.5413088682393898,0.6847389049011515,0.17719893846076812,2893156
0.43999999999999995,0.28742818957063443,0.549550120232472,0.6751767275754481,0.1690120007343982,2809973
0.4499999999999999,0.2791531445406378,0.5577998251421544,0.665582195374477,0.1611399195500142,2729074
0.4599999999999999,0.2711149998961771,0.5660411599209354,0.6559675506834749,0.15358322901540566,2650491
0.4699999999999999,0.26333165614134074,0.5742384921684633,0.6463625250094441,0.14635621651394523,2574399
0.4799999999999999,0.25573897832719483,0.5824625595609261,0.6367159626712185,0.13939078330245522,2500171
0.48999999999999994,0.24832939709772478,0.5907741913958413,0.6270908245071566,0.13265782050640096,2427733
0.49999999999999994,0.24119579049700085,0.5990000818492676,0.6175575042323674,0.12625707275549547,2357993
0.5099999999999999,0.23436567415702178,0.6069661577674776,0.6080499804121836,0.12024462136764975,2291220
0.5199999999999999,0.22778309621643694,0.6149249146895616,0.5987208456340156,0.11450082619798709,2226867
0.5299999999999999,0.22147332195815966,0.6225299409148703,0.5893353084381515,0.10913037237327458,2165181
0.5399999999999999,0.2153735461849883,0.6302838975886562,0.580242276803828,0.10394471984377347,2105548
0.5499999999999999,0.20964835124594158,0.637645719092281,0.5714150798203518,0.09916685861165356,2049577
0.5599999999999999,0.20414133787958402,0.6448528590161339,0.5626941292516054,0.09464136331013302,1995739
0.57,0.19886437156291142,0.6518668826993802,0.5541109055167686,0.09037410912489777,1944150
0.58,0.19381336075213212,0.6587965821709231,0.5457777762231891,0.08632543855256788,1894770
0.59,0.18898789629286697,0.6654862131581867,0.5375933044646231,0.0825257957371522,1847595
0.6,0.18436383807674528,0.6720053218256437,0.5295771655030571,0.07893765960642932,1802389
0.61,0.17986743602692276,0.6784235491753728,0.5215960047850238,0.0755054829502779,1758431
0.62,0.17549572377415046,0.6846438638170488,0.5135846753319435,0.07224528900238679,1715692
0.63,0.17121034309538177,0.6908316838899818,0.5055720341947308,0.06909819237894947,1673797
0.6399999999999999,0.16707614495971415,0.697014166942169,0.49777931876372894,0.06608128452923405,1633380
0.6499999999999999,0.16300178565199927,0.7031805756713949,0.4899367593356932,0.06315771201575618,1593548
0.6599999999999999,0.15899012925289127,0.7091445890799181,0.4819319883032754,0.06036553001852686,1554329
0.6699999999999999,0.15503289038621207,0.7151312777027821,0.4739040441845172,0.057651461285530683,1515642
0.6799999999999999,0.1511174875548024,0.7210552037277205,0.4657619835462342,0.05502685560729725,1477364
0.69,0.1471919581525084,0.7270211614142449,0.45741661186741844,0.0524511207918148,1438987
0.7,0.1433020251812017,0.7330862167174177,0.44904325759377667,0.04993039907866406,1400958
0.71,0.13941689977385013,0.7390357570492804,0.4404145621423475,0.04749393286932719,1362976
0.72,0.13548922231106555,0.7451278822387205,0.43153533502161656,0.04507843039073323,1324578
0.73,0.13151940194722705,0.7513898308248456,0.42241169742420215,0.042682556373408106,1285768
0.74,0.12753526118011785,0.757660701080671,0.4130340303331328,0.04034556773988951,1246818
0.7499999999999999,0.12349414566571003,0.7640011562886447,0.4032934639654135,0.03804503196301304,1207311
0.7599999999999999,0.11941334217652332,0.7703654909646604,0.3932153575476054,0.03579577053394088,1167416
0.7699999999999999,0.11527423418830574,0.7767782272698636,0.382745494802233,0.03359003888972343,1126951
0.7799999999999999,0.11109083523854366,0.7832803739780655,0.3719429015152575,0.031428104084255504,1086053
0.7899999999999999,0.1067833602233001,0.7900323964358174,0.3606029549620136,0.02926830570994609,1043942
0.7999999999999999,0.10243057136056413,0.7967541053018411,0.3488467673107327,0.027176472551866875,1001388
0.8099999999999999,0.0979739595741153,0.8035484783659543,0.3365143130972535,0.025125098058852,957819
0.82,0.09354332909074338,0.8102916991068383,0.3239925391406545,0.02316545657870579,914504
0.83,0.08908896765337995,0.8167303322666906,0.31101648524617687,0.021313571345117088,870957
0.84,0.08459144042901473,0.8230796577459407,0.2976110734123375,0.019536461202076343,826988
0.8499999999999999,0.07996523415240243,0.829586024373178,0.28355900130119066,0.017788860514412565,781761
0.8599999999999999,0.075283792034603,0.8361780123207526,0.26907975739090284,0.016099611102765678,735994
0.8699999999999999,0.0703929651632664,0.8429727687523613,0.2536434212919564,0.014429322517650594,688180
0.8799999999999999,0.0651898512120329,0.8501066195103505,0.23688315867530396,0.012755695758850332,637313
0.8899999999999999,0.05964724141468809,0.8572180674192758,0.2185558707483945,0.011117453641112947,583127
0.8999999999999999,0.05356577529998432,0.864820221779622,0.19801314832174388,0.00945237260694674,523673
0.9099999999999999,0.04679028106962365,0.8728996970054697,0.17458253466343934,0.007763256722247258,457434
0.9199999999999999,0.03923729123025664,0.8821879382889201,0.14795884459865963,0.00603434980722047,383594
0.9299999999999999,0.030813723160623474,0.8924389944330656,0.11754482461908693,0.004326540149883999,301243
0.94,0.021337094007617022,0.9038385019918791,0.08243410098918473,0.0026784170380384892,208597
0.95,0.011686983397845045,0.9165900835849634,0.04578870692429309,0.0012725118087894114,114255
