class,name,fraction,roc_auc,pr_auc
0,qqbar,0.12945135416766249,0.712850275134543,0.31389039190491963
1,qg,0.25692379759662726,0.6193045090452574,0.36713673743421527
2,gg-like,0.6136248482357103,0.6784909493632743,0.7388953820533485
