class,name,fraction,roc_auc,pr_auc
0,unmatched,0.7660520724641047,0.8404673244382603,0.9402782600104783
1,qqbar,0.030242952801689725,0.8142259272628167,0.18683724046492997
2,qg,0.0586953437515631,0.7923396920161807,0.20203353193499787
3,gg-like,0.14500963098264255,0.793827911040724,0.4011592854236926
