class,name,threshold,n_selected,a0,a1,a1_over_a0
0,unmatched,0.6,340162,11325.958317982671,-1776.4740248164683,-0.15684977596958752
1,qqbar,0.6,3425,112.69289586887145,-40.84888049837741,-0.3624796415375539
2,qg,0.6,214,5.733797773791709,-3.550428927526376,-0.6192106990160745
3,gg-like,0.6,473,14.94392125228109,-0.8847662886100154,-0.05920576491762239
