threshold,N_selected,purity,efficiency
0.3,518,0.0849,1.0
0.35,517,0.0851,1.0
0.4,499,0.0862,0.9773
0.45,407,0.086,0.7955
0.5,234,0.1068,0.5682
0.55,75,0.1333,0.2273
0.6,11,0.2727,0.0682
0.65,2,0.0,0.0
