threshold,N,purity,efficiency,cos2_mean,cos2_err
0.0,1395448,0.12885467606102127,1.0,-0.09191432442546466,0.000602016829345154
0.02435897435897436,1395448,0.12885467606102127,1.0,-0.09191432442546466,0.000602016829345154
0.04871794871794872,1395448,0.12885467606102127,1.0,-0.09191432442546466,0.000602016829345154
0.07307692307692308,1395448,0.12885467606102127,1.0,-0.09191432442546466,0.000602016829345154
0.09743589743589744,1395448,0.12885467606102127,1.0,-0.09191432442546466,0.000602016829345154
0.12179487179487179,1395439,0.1288555071199816,1.0,-0.09190989887329716,0.000602018811102703
0.14615384615384616,1395246,0.12887333129784997,1.0,-0.09183804650364714,0.0006020620799059977
0.17051282051282052,1392761,0.12908029446545388,0.9998220343696124,-0.09124949871020441,0.000602623087140331
0.19487179487179487,1376654,0.13037190172694083,0.9981480451587788,-0.08912892371871375,0.0006062371193705087
0.21923076923076923,1324365,0.13452484775722706,0.9908236471831378,-0.08390356853517501,0.0006182657547996284
0.24358974358974358,1218412,0.14291635341739903,0.968416662032145,-0.07772398139430764,0.0006447818953177319
0.26794871794871794,1065457,0.15548445408871497,0.9213169456648684,-0.07362445295803871,0.0006895652566474785
0.2923076923076923,851540,0.1754127815487235,0.8307157555197152,-0.07366073363816014,0.0007713995354269028
0.31666666666666665,554732,0.21439181442570465,0.6614203881875312,-0.08197534669377737,0.0009553494555576721
0.34102564102564104,346499,0.26267319674804257,0.5061787442300206,-0.09463661914699016,0.0012075332149469667
0.36538461538461536,219639,0.3142702343390746,0.38388298759802014,-0.10993557001769866,0.00151403893256889
0.38974358974358975,139066,0.3694145226007795,0.2857071353094934,-0.1293165260404331,0.0018971044325140245
0.41410256410256413,87247,0.42933281373571586,0.20831989322062178,-0.14925421867017927,0.0023898568344564073
0.43846153846153846,54105,0.4884391461047962,0.14697180357043546,-0.1689503835564671,0.00302442549006587
0.46282051282051284,33431,0.5488020101103765,0.10203548189755854,-0.1921085205685563,0.0038243729303319113
0.48717948717948717,20382,0.6093612010597587,0.06907291029419943,-0.20926385581544907,0.004863604928545952
0.5115384615384615,12331,0.6613413348471332,0.045353428619097934,-0.2232974482964454,0.006226678116525956
0.5358974358974359,7162,0.7115330913152751,0.0283410266392303,-0.24741377658632988,0.008046921761786114
0.5602564102564103,4072,0.7546660117878192,0.017090261943162228,-0.2620402837610765,0.010628850137834406
0.5846153846153846,2115,0.7971631205673759,0.009376564151048329,-0.2787350730787405,0.01470061848489992
0.608974358974359,940,0.8042553191489362,0.004204438017907791,-0.2998056552803233,0.021360341840902436
0.6333333333333333,355,0.8225352112676056,0.0016239363772871365,-0.34699762078165813,0.035381519149473344
0.6576923076923077,117,0.8376068376068376,0.0005450197430621212,-0.3407084324114762,0.06371451048724255
0.6820512820512821,24,0.875,0.0001167899449418831,-0.4362582980276488,0.12258643571082938
0.7064102564102565,6,1.0,3.336855569768089e-05,-0.6225832651500084,0.28763395796123553
