threshold,selected_fraction,matched_purity,matched_efficiency,unmatched_mistag_rate,n_selected
0.05,0.999874419188748,0.06719417231851293,1.0,0.9998653742595585,7962
0.06,0.999874419188748,0.06719417231851293,1.0,0.9998653742595585,7962
0.07,0.999874419188748,0.06719417231851293,1.0,0.9998653742595585,7962
0.08,0.999874419188748,0.06719417231851293,1.0,0.9998653742595585,7962
0.09,0.999874419188748,0.06719417231851293,1.0,0.9998653742595585,7962
0.09999999999999999,0.999874419188748,0.06719417231851293,1.0,0.9998653742595585,7962
0.10999999999999999,0.999874419188748,0.06719417231851293,1.0,0.9998653742595585,7962
0.12,0.999874419188748,0.06719417231851293,1.0,0.9998653742595585,7962
0.13,0.9994976767549918,0.06721949993717803,1.0,0.9994614970382337,7959
0.13999999999999999,0.9993720959437398,0.06722794672028148,1.0,0.9993268712977922,7958
0.14999999999999997,0.9993720959437398,0.06722794672028148,1.0,0.9993268712977922,7958
0.15999999999999998,0.9991209343212357,0.06724484665661136,1.0,0.999057619816909,7956
0.16999999999999998,0.9989953535099837,0.06725329981143935,1.0,0.9989229940764675,7955
0.18,0.9983674494537235,0.06729559748427673,1.0,0.9982498653742595,7950
0.19,0.9958558332286827,0.06746532156368222,1.0,0.9955573505654282,7930
0.19999999999999996,0.990832600778601,0.06780735107731306,1.0,0.9901723209477652,7890
0.20999999999999996,0.984553560215999,0.06823979591836735,1.0,0.9834410339256866,7840
0.21999999999999997,0.9761396458621122,0.0688279943393799,1.0,0.9744211093161013,7773
0.22999999999999998,0.9645862112269246,0.06952219763051685,0.9981308411214953,0.9621701669359182,7681
0.24,0.9490141906316715,0.07066296149265582,0.9981308411214953,0.9454765751211631,7557
0.24999999999999994,0.9315584578676378,0.07185225128066865,0.9962616822429906,0.9268982229402262,7418
0.25999999999999995,0.9108376240110511,0.07321108506824762,0.9925233644859813,0.9049542272482499,7253
0.26999999999999996,0.8943865377370338,0.07385565852288684,0.983177570093458,0.8879913839526118,7122
0.27999999999999997,0.8770563857842522,0.07474226804123711,0.9757009345794393,0.869951534733441,6984
0.29,0.8558332286826573,0.07615553925165076,0.9700934579439252,0.84760366182014,6815
0.3,0.8368705261835991,0.07668067226890757,0.9551401869158879,0.8283521809369951,6664
0.30999999999999994,0.8127590104232073,0.07802843016069222,0.9439252336448598,0.8033117932148627,6472
0.31999999999999995,0.7894009795303277,0.08001909004136176,0.9401869158878504,0.7785406569736134,6286
0.32999999999999996,0.7588848423960819,0.08240939930498097,0.930841121495327,0.7464997307485192,6043
0.33999999999999997,0.7292477709406002,0.08420871362149131,0.914018691588785,0.7159396876682822,5807
0.3499999999999999,0.6979781489388421,0.086002159050018,0.8934579439252337,0.683898761443188,5558
0.35999999999999993,0.6609318096194902,0.08873266197985939,0.8728971962616823,0.6456650511577814,5263
0.36999999999999994,0.6230064046213738,0.09070751864543439,0.8411214953271028,0.6072967151319332,4961
0.37999999999999995,0.5847042571895015,0.09321305841924399,0.811214953271028,0.5683898761443188,4656
0.38999999999999996,0.54338817028758,0.09614051305754565,0.7775700934579439,0.5265212708669897,4327
0.3999999999999999,0.5058395077232198,0.09905660377358491,0.7457943925233644,0.4885568120624663,4028
0.4099999999999999,0.46301645108627404,0.10143748304854895,0.6990654205607477,0.44601507808292945,3687
0.41999999999999993,0.416551550923019,0.10611998794091046,0.6579439252336449,0.3991653204092622,3317
0.42999999999999994,0.3654401607434384,0.10996563573883161,0.5981308411214953,0.34868066774367257,2910
0.43999999999999995,0.31370086650759765,0.11729383506805445,0.5476635514018692,0.2968497576736672,2498
0.4499999999999999,0.27087780987065174,0.12192860454334724,0.491588785046729,0.2549811523963382,2157
0.4599999999999999,0.225291975386161,0.12876254180602006,0.43177570093457945,0.2104200323101777,1794
0.4699999999999999,0.18410146929549165,0.13096862210095497,0.35887850467289717,0.17151319332256326,1466
0.4799999999999999,0.151199296747457,0.13538205980066445,0.30467289719626167,0.1401453957996769,1204
0.48999999999999994,0.12181338691447947,0.1402061855670103,0.2542056074766355,0.1122778675282714,970
0.49999999999999994,0.09757629034283562,0.14157014157014158,0.205607476635514,0.08979536887452881,777
0.5099999999999999,0.08012055757880196,0.14890282131661442,0.17757009345794392,0.07310177705977383,638
0.5199999999999999,0.06191133994725606,0.16024340770791076,0.14766355140186915,0.05573505654281099,493
0.5299999999999999,0.04696722340826322,0.17647058823529413,0.1233644859813084,0.041464728056004305,374
0.5399999999999999,0.03629285445183976,0.17993079584775087,0.09719626168224299,0.031906300484652664,289
0.5499999999999999,0.026497551174180584,0.1990521327014218,0.07850467289719626,0.02275175013462574,211
0.5599999999999999,0.01984176817782243,0.22151898734177214,0.06542056074766354,0.016558966074313407,158
0.57,0.013437146803968354,0.17757009345794392,0.03551401869158879,0.011847065158858373,107
0.58,0.009669722466407134,0.2077922077922078,0.029906542056074768,0.008212170166935918,77
0.59,0.006530202185106116,0.21153846153846154,0.020560747663551402,0.00551965535810447,52
0.6,0.004144166771317343,0.12121212121212122,0.007476635514018692,0.0039041464728056005,33
0.61,0.0022604546025367326,0.16666666666666666,0.005607476635514018,0.0020193861066235864,18
0.62,0.0013813889237724475,0.18181818181818182,0.003738317757009346,0.0012116316639741518,11
0.63,0.0008790656787642849,0.2857142857142857,0.003738317757009346,0.0006731287022078621,7
0.6399999999999999,0.0005023232450081628,0.5,0.003738317757009346,0.00026925148088314486,4
0.6499999999999999,0.0001255808112520407,1.0,0.001869158878504673,0.0,1
