K,BIC,AIC,silhouette_subsample
3,58041226.10550488,58040149.47245435,0.19767509440047337
4,56554836.413678214,56553396.579116665,0.11609306402420279
5,54674629.43257646,54672826.39650389,0.06963810086336703
6,54051048.18263635,54048881.94505275,0.05080129388531651
