K,BIC,AIC,silhouette_subsample
3,-43960759.44134292,-43968941.526799686,-0.0017885810041169358
4,-49342314.10892831,-49353227.49747831,0.023354219053004666
5,-59834696.10100853,-59848340.79265175,-0.010906552053426962
6,-61720316.89646351,-61736692.89119997,-0.003810108533772626
