K,cluster,probability_cut,n_selected,selected_fraction,channel2_3_fraction,c2,c2_err,c2_significance
4,0,0.5,208567,0.3160503517866641,0.0,6.937143137250786e-10,0.40827624461167833,1.6991297507031972e-09
4,0,0.6,196619,0.29794504460409416,0.0,-2.614371057560339e-07,0.4081829788325356,-6.404899746280041e-07
4,0,0.7,183616,0.2782410515261768,0.0,-2.474538831376771e-05,0.40827943966537245,-6.060895041408193e-05
4,0,0.8,167274,0.2534773312401408,0.0,-1.363141248564964e-05,0.4082364675934158,-3.339097206579271e-05
4,0,0.9,141521,0.21445272663077328,0.0,-9.655487335140826e-06,0.40694508766570936,-2.3726757313931403e-05
